gene,detection,pct_change
ATP6V1G2,0.0562,-10.99
NFKBIL1,0.0672,-2.9
GPANK1,0.0499,3.43
CSNK2B,0.0713,-10.86
LY6G5B,0.0637,2.25
VARS,0.0668,0.41
LSM2,0.068,-6.92
SNHG32,0.0593,-13.27
NEU1,0.0495,-12
C2,0.0569,5.25
DXO,0.0634,-15.23
PRRT1,0.0657,5.04
PSMB9,0.0606,-1.71
SLC39A7,0.0482,-2.21
HCG25,0.0519,-21.3
WDR46,0.0469,-9.6
CUTA,0.0643,-15.01
HMGA1,0.0474,15.49
RPS10,0.0655,-16.22
PACSIN1,0.0538,-5.89
SNRPC,0.0734,-3.01
CDKN1A,0.0487,-6.56
CPNE5,0.0578,7.84
PIM1,0.0549,3.67
AL590999.1,0.0588,-25.36
FRS3,0.0594,-5.54
CNPY3,0.049,-1.55
MRPL2,0.0589,-6.91
SRF,0.0663,6.07
AL109615.3,0.0483,-11.85
MRPL14,0.057,-12.85
SLC35B2,0.0501,16.7
TMEM151B,0.0525,-5.76
CLIC5,0.0572,6.66
CYP39A1,0.0746,-5.64
TDRD6,0.0505,11.2
PTCHD4,0.065,0.99
CENPQ,0.066,-4.72
TRAM2-AS1,0.0655,-8.53
KHDRBS2-OT,0.0482,9.09
AL590428.1,0.0677,-15.53
ELOVL4,0.0648,2.62
AL359715.2,0.0463,-24.68
RWDD2A,0.0545,-4.12
PRSS35,0.0496,-9.7
HTR1E,0.0648,14.82
CFAP206,0.052,1.02
AL132996.1,0.0486,0.53
AL591519.1,0.0524,-5.53
COQ3,0.0601,3.14
AL096794.1,0.0524,-17.15
OSTM1-AS1,0.0633,-4.99
ZBTB24,0.0498,-12.94
DDO,0.0765,7.73
FRK,0.0546,1.2
COL10A1,0.0548,-34.81
SMPDL3A,0.0483,-5.36
ARHGAP18,0.0528,-21.77
ENPP3,0.0577,17.4
ALDH8A1,0.056,-13.81
AL024508.1,0.0755,-37.5
IL20RA,0.066,-2.37
AL592429.2,0.0728,-3.57
LINC01625,0.0497,1.11
SAMD5,0.0489,18.84
SUMO4,0.0739,-13.31
AL078581.4,0.0473,-33.24
AL138733.1,0.0524,-30.19
ZBTB2,0.0677,7.09
ARMT1,0.0765,10.43
ESR1,0.0601,-9.11
IPCEF1,0.0654,-6.68
AL589693.1,0.0587,6.61
SYNJ2,0.0648,-6.5
SYTL3,0.0636,31.09
AL450345.2,0.0639,2.99
AL133538.1,0.0697,-15.71
C6orf118,0.0733,8.28
PRR18,0.0497,0.8
Z94721.1,0.0621,-6.9
THBS2,0.0603,-34.39
C6orf120,0.0575,-3.66
TCTE3,0.0568,-17.11
GPR146,0.0473,-10.65
ZFAND2A,0.0517,-3.92
AC092171.4,0.0706,-15.67
KDELR2,0.0744,4.12
ZDHHC4,0.0566,-1.43
AC005532.1,0.0589,26.73
ICA1,0.0703,-9.12
AGMO,0.0743,11.85
TSPAN13,0.0516,-9.94
STEAP1B,0.0647,36.8
C7orf31,0.0753,5.33
AC004540.2,0.0503,6.51
CPVL,0.0699,-24.88
AC083864.5,0.0747,-50.92
SFRP4,0.0519,-27.85
AC011290.1,0.0534,2.63
AC004837.4,0.0483,-14.67
C7orf25,0.0554,2.07
MRPL32,0.0637,-12.01
TBRG4,0.0595,9.41
AC074351.1,0.0602,-14.44
AC068533.3,0.0598,-33.38
AC008267.5,0.056,-5.22
AC027644.3,0.062,-22.54
SPDYE21P,0.0522,-36.8
BCL7B,0.0731,-0.46
TBL2,0.0493,7.59
DNAJC30,0.0538,-10.79
STX1A,0.0736,0.49
RFC2,0.0507,-14.48
SPDYE5,0.054,-31.9
MDH2,0.0739,-3.21
DTX2,0.063,2.57
SEMA3E,0.0757,39.92
TMEM243,0.076,-7.8
DBF4,0.0667,7.32
CDK6,0.063,2.86
PEG10,0.0714,-3.89
PON1,0.0549,2.12
TMEM130,0.0664,-4.8
BUD31,0.0523,-6.19
CYP3A43,0.0532,1.84
TAF6,0.0606,-10.67
CNPY4,0.0536,3.29
MEPCE,0.0493,3.92
MOSPD3,0.0532,-3.45
ACTL6B,0.0459,-9.97
CLDN15,0.0584,8.8
SH2B2,0.065,14.14
ALKBH4,0.0529,-6.34
AC105052.5,0.065,-15.07
LRRC17,0.0696,-13.44
KMT2E-AS1,0.0596,-14.44
DUS4L,0.0716,-7.17
LAMB1,0.0466,-9.73
DNAJB9,0.07,3.67
DOCK4-AS1,0.0652,-29.88
