celltype,bin,gene,mean,det,n_cells
astro,0.2,ATP6V0A1,0.527340747283724,0.584499686651347,4787
astro,0.2,ATP6V0C,0.225389806097301,0.299143513682891,4787
astro,0.2,ATP6V0D1,0.113164793163793,0.16711928138709,4787
astro,0.2,ATP6V1E1,0.178989535754425,0.256110298725716,4787
astro,0.3,CA2,0.129746365033122,0.184408823126456,7299
astro,0.3,CA4,0.0080401532240707,0.0112344156733799,7299
astro,0.3,CA12,0.0963229963058053,0.117276339224551,7299
astro,0.3,CA14,0.00452064606306863,0.00739827373612824,7299
astro,0.3,CA8,0.91798509875623,0.723660775448692,7299
astro,0.3,CA11,0.102384976318951,0.143444307439375,7299
astro,0.3,CA9,0.00195302497705281,0.00287710645293876,7299
astro,0.3,BSG,0.474340053296919,0.525140430195917,7299
astro,0.3,EMB,0.0144394964432942,0.0186326894095082,7299
astro,0.3,SLC4A4,2.11832230497197,0.954377311960543,7299
astro,0.3,SLC4A2,0.0483753681958645,0.0761748184682833,7299
astro,0.3,SLC4A10,0.310397867156734,0.360323331963283,7299
astro,0.3,SLC9A1,0.0626123428022164,0.0897383203178518,7299
astro,0.3,SLC9A6,0.154677124076681,0.214686943416906,7299
astro,0.3,SLC9A7,0.0997332992280472,0.138923140156186,7299
astro,0.3,SLC16A1,0.0566771431015949,0.0805589806822852,7299
astro,0.3,SLC16A3,0.0628860330484488,0.0909713659405398,7299
astro,0.3,SLC16A7,0.0808706851830498,0.109878065488423,7299
astro,0.3,NDUFA1,0.104618753661667,0.145910398684751,7299
astro,0.3,NDUFA2,0.0805651761090238,0.118920400054802,7299
astro,0.3,NDUFA4,0.229008337500929,0.286340594602,7299
astro,0.3,NDUFA8,0.086785616697408,0.13248390190437,7299
astro,0.3,NDUFA9,0.201521829746491,0.274832168790245,7299
astro,0.3,NDUFA10,0.409304632689303,0.487327031100151,7299
astro,0.3,NDUFA13,0.206926476358877,0.266337854500617,7299
astro,0.3,NDUFB1,0.147840785506997,0.210987806548842,7299
astro,0.3,NDUFB2,0.180088087252875,0.232634607480477,7299
astro,0.3,NDUFB4,0.27800483004551,0.333059323194958,7299
astro,0.3,NDUFB6,0.152722329713822,0.209206740649404,7299
astro,0.3,NDUFB8,0.183562420824077,0.256336484449925,7299
astro,0.3,NDUFB9,0.0660820769408677,0.101383751198794,7299
astro,0.3,NDUFB10,0.0690497633491841,0.0967255788464173,7299
astro,0.3,NDUFS1,0.564374341842148,0.606658446362515,7299
astro,0.3,NDUFS2,0.197836155137439,0.270036991368681,7299
astro,0.3,NDUFS3,0.0796349646845392,0.121249486230991,7299
astro,0.3,NDUFS4,0.379684847719474,0.461296067954514,7299
astro,0.3,NDUFS7,0.119357022418929,0.171393341553637,7299
astro,0.3,NDUFS8,0.114445561245298,0.163173037402384,7299
astro,0.3,NDUFV1,0.238223203640227,0.320454856829703,7299
astro,0.3,NDUFV2,0.218563295205679,0.299767091382381,7299
astro,0.3,SDHA,0.221463933460499,0.301548157281819,7299
astro,0.3,SDHB,0.239170075279504,0.313604603370325,7299
astro,0.3,UQCRC1,0.112233728039737,0.16111796136457,7299
astro,0.3,UQCRC2,0.525818311028128,0.585148650500068,7299
astro,0.3,CYC1,0.0592757446735032,0.0882312645567886,7299
astro,0.3,COX4I1,0.161337104641439,0.22235922729141,7299
astro,0.3,COX5A,0.103535408246254,0.151390601452254,7299
astro,0.3,COX6C,0.212194692061231,0.273325113029182,7299
astro,0.3,COX7C,0.297162068140868,0.355802164680093,7299
astro,0.3,ATP5F1A,0.233654488088873,0.322920948075079,7299
astro,0.3,ATP5F1B,0.154993558261946,0.219893136046034,7299
astro,0.3,ATP5MC1,0.0581905119920335,0.0878202493492259,7299
astro,0.3,ATP5PB,0.128525422366699,0.192766132346897,7299
astro,0.3,PPARGC1A,0.587573250122537,0.575284285518564,7299
astro,0.3,PPARGC1B,0.0256228848550724,0.0353473078503905,7299
astro,0.3,PPRC1,0.0456207063360922,0.0691875599397178,7299
astro,0.3,TFAM,0.0634556990165321,0.0957665433621044,7299
astro,0.3,NRF1,0.912168024798618,0.771886559802713,7299
astro,0.3,NFE2L2,0.715700629270229,0.687491437183176,7299
astro,0.3,ESRRA,0.199552311697126,0.267433895054117,7299
astro,0.3,MFN1,0.28690462073066,0.375119879435539,7299
astro,0.3,MFN2,0.134531302660079,0.196465269214961,7299
astro,0.3,OPA1,0.5734024633772,0.598986162488012,7299
astro,0.3,DNM1L,0.571145110133413,0.596794081381011,7299
astro,0.3,FIS1,0.0659159311984137,0.0996026852993561,7299
astro,0.3,SLC1A2,3.6234242279965,0.992327716125497,7299
astro,0.3,SLC1A3,3.07513152342787,0.994245787094122,7299
astro,0.3,GLUL,1.30066792752452,0.822304425263735,7299
astro,0.3,SLC38A1,0.277923034421629,0.215371968762844,7299
astro,0.3,SLC38A3,0.0747382213586258,0.113714207425675,7299
astro,0.3,ATP1A1,0.112829473671447,0.151527606521441,7299
astro,0.3,ATP1A2,2.14253237886794,0.981504315659679,7299
astro,0.3,ATP1A3,0.0731754818078116,0.0990546650226058,7299
astro,0.3,ATP1B1,0.134548015709788,0.174955473352514,7299
astro,0.3,ATP1B2,0.799552001562294,0.709686258391561,7299
astro,0.3,AQP4,1.69313116228928,0.926154267707905,7299
astro,0.3,KCNJ10,0.54353918859911,0.568023016851624,7299
astro,0.3,GJA1,1.40704588254995,0.868475133579942,7299
astro,0.3,GJB6,0.259146123512067,0.324976024112892,7299
astro,0.3,SLC2A1,0.14358575736632,0.194410193177148,7299
astro,0.3,SLC2A3,0.0399588537283149,0.0532949719139608,7299
astro,0.3,GYS1,0.384401604463783,0.424578709412248,7299
astro,0.3,PYGB,0.434867428376064,0.500753527880532,7299
astro,0.3,PYGM,0.118955497485119,0.167420194547198,7299
astro,0.3,CPT1A,0.482964937603871,0.536511850938485,7299
astro,0.3,ACADVL,0.488234881744971,0.547609261542677,7299
astro,0.3,HADHA,0.3639554832958,0.44636251541307,7299
astro,0.3,ACSL3,0.935356354955158,0.75914508836827,7299
astro,0.3,BDH1,0.292095405299838,0.363748458692972,7299
astro,0.3,OXCT1,0.252334237182397,0.302233182627757,7299
astro,0.3,SLC16A6,0.01229122763285,0.0191807096862584,7299
astro,0.3,RPL13A,0.148216442521067,0.204685573366215,7299
astro,0.3,RPS6,0.156276852645798,0.212768872448281,7299
astro,0.3,EIF4E,0.231945595121544,0.310316481709823,7299
astro,0.3,EEF2,0.100714453574255,0.148924510206878,7299
astro,0.3,HSPA5,0.174394807900153,0.22962049595835,7299
astro,0.3,DDIT3,0.0640504723265492,0.0933004521167283,7299
astro,0.3,ATF4,0.0868604325920707,0.127003699136868,7299
astro,0.3,EIF2AK3,0.143084047738616,0.191807096862584,7299
astro,0.3,GFAP,1.21837562562701,0.749280723386765,7299
astro,0.3,VIM,0.314630217708322,0.365118509384847,7299
astro,0.3,SERPINA3,0.0846665121971181,0.0900123304562269,7299
astro,0.3,CLU,2.15037340991855,0.975202082477052,7299
astro,0.3,C3,0.0808468231119053,0.0864501986573503,7299
astro,0.3,CD44,0.332814119169281,0.23523770379504,7299
astro,0.3,LAMP1,0.219547577674935,0.29812303055213,7299
astro,0.3,LAMP2,0.451068407346948,0.511850938484724,7299
astro,0.3,CTSB,0.152606548857062,0.214275928209344,7299
astro,0.3,CTSD,0.264802817653868,0.339635566515961,7299
astro,0.3,SLC40A1,0.0253014731246293,0.0408275106178929,7299
astro,0.3,TFRC,0.20920802428267,0.283463488149062,7299
astro,0.3,FTH1,1.55122550983497,0.839156048773805,7299
astro,0.3,FTL,0.88751152497699,0.657213316892725,7299
astro,0.3,CP,0.106525474873728,0.107685984381422,7299
astro,0.3,LDHA,0.0986997253609971,0.138649130017811,7299
astro,0.3,HK2,0.0647605346202654,0.0785039046444719,7299
astro,0.3,PFKFB3,0.862040281310067,0.72598986162488,7299
astro,0.3,NEFL,0.076615793492422,0.098369639676668,7299
astro,0.3,PTGDS,1.87625566281706,0.962871626250171,7299
astro,0.3,MOG,0.0141788563743522,0.020550760378134,7299
astro,0.3,MAG,0.00841157588914317,0.012467461296068,7299
astro,0.3,SNAP25,0.40677351786194,0.460474037539389,7299
astro,0.3,SYT1,0.998989015846224,0.809973969036854,7299
astro,0.3,SLC17A7,0.092281857128012,0.125085628168242,7299
