gene,rho
CCDC85B,0.204432247401038
BANF1,-0.0543395583984209
MRPL11,0.238132303726841
DPP3,0.00735450591132112
ZDHHC24,0.00961686030944145
SSH3,0.134103918401563
PPP1CA,0.201154004381913
MRPL21,-0.164930035707465
RELT,0.104858952794219
COA4,-0.256422899795857
PGM2L1,-0.0583383910942626
CAPN5,-0.235911646972939
KCTD21,0.0198732975367905
USP35,0.00063148505207567
TMEM126A,-0.0696214537695733
CCDC81,0.380796356139935
C11orf1,0.155826650246757
TIMM8B,-0.0936891949105272
BUD13,-0.0591115885878642
TAGLN,-0.0590461397528233
DSCAML1,0.186987035602552
TMEM25,0.286607660218201
TRAPPC4,0.0129953771952761
SLC37A4,0.181990234597228
TRIM29,-0.114604497336975
TECTA,-0.138521839946232
JHY,0.410388519322147
ZNF202,-0.273053091341347
CDON,0.120679140894357
RPUSD4,-0.442968772463554
TIRAP,-0.0887353372102004
DCPS,-0.275409744256388
ETS1,-0.0431659487014386
IGSF9B,0.205069353126003
THYN1,0.151236571980015
WNT5B,-0.314434698267517
VAMP1,-0.17235619762471
GPR162,-0.039661598576661
C12orf57,-0.254177586503087
FOXJ2,0.0549190857999254
MAGOHB,0.0238689610065578
MANSC1,0.0452315466161091
CDKN1B,0.334898715329758
HEBP1,0.275653749293641
FAR2,0.024059145506431
OVCH1,0.265150742377817
PKP2,0.385381902926563
C12orf40,0.103705649892759
TWF1,-0.157600475484577
DBX2,-0.0988723211933714
TMEM106C,0.0203988726531175
RND1,-0.136459817587249
CCDC65,-0.0935654804130322
FKBP11,0.0979717588511264
MCRS1,0.188297554314639
BCDIN3D,-0.0187291243559012
NR4A1,0.310269900093631
ZNF740,0.310936134158388
NPFF,0.495128381726004
SMUG1,0.150435865356965
PPP1R1A,0.197909207409482
RDH5,0.200363001995029
DGKA,-0.0337087659187048
NABP2,0.111222774636272
COQ10A,-0.0161246271221862
SPRYD4,-0.0875872069401922
GLI1,0.390870408700859
PIP4K2C,0.328991098654851
ARHGEF25,0.255750689444058
CDK4,0.0167400673938408
MARCH9,0.197013431404045
TSFM,-0.124845478983028
