"gene","detect","detect_all","pct"
"FBXO44",0.20078816557448,0.200329284029725,4.57806349554752
"FBXO6",0.0508575778835963,0.0507868701701301,-1.72416458992275
"MAD2L2",0.0357809257960024,0.0358207626930094,0.102578926824415
"DRAXIN",0.0157633114896031,0.0157670686305048,15.8318517735005
"AGTRAP",0.112015046797331,0.11214939408772,-8.04259756938363
"C1orf167",0.00574704064725112,0.00574022159925244,12.4559606005
"AL953897.1",0.000134346404740935,0.00013349352556401,260.230548152174
"MTHFR",0.150139570987148,0.149705572613062,4.12053395165779
"CLCN6",0.273320296756281,0.273795220931785,2.13772434624533
"NPPA",0.00211968771924587,0.00212106379507261,-29.2743306593486
"NPPB",0.000537385618963741,0.000548806716207597,-13.4741047652244
"AL021155.5",0.0207938379782359,0.0210029813554043,0.328923749848364
"KIAA2013",0.118329327820155,0.118037941826488,-1.22553233227197
"PLOD1",0.156050812795749,0.155920437858764,9.99854285960997
"AL096840.2",0.00273171022973235,0.00272920096708643,-9.58807143136677
"MFN2",0.184353122061172,0.184443554487607,-3.2823666598397
"MIIP",0.112477795524772,0.112520209436509,-10.2007849545469
"TNFRSF8",0.00583660491707841,0.00582921728296178,1.38024100876184
"TNFRSF1B",0.011568718186025,0.0116287693380204,7.03904479123134
